end station name,trips
1 Ave & E 110 St,607
1 Ave & E 16 St,3315
1 Ave & E 18 St,3328
1 Ave & E 30 St,2312
1 Ave & E 44 St,1789
1 Ave & E 5 St,572
1 Ave & E 62 St,2315
1 Ave & E 68 St,2993
1 Ave & E 78 St,2352
1 Ave & E 94 St,597
1 Pl & Clinton St,358
10 Ave & W 28 St,3406
10 Hudson Yards,171
10 St & 2 Ave,142
10 St & 5 Ave,336
10 St & 7 Ave,454
11 Ave & W 27 St,2636
11 Ave & W 41 St,2971
11 Ave & W 59 St,2437
11 St & 35 Ave,71
11 St & 43 Ave,97
12 Ave & W 125 St,237
12 Ave & W 40 St,3161
14 St & 5 Ave,556
14 St & 7 Ave,455
19 St & 24 Ave,173
2 Ave & 36 St - Citi Bike HQ at Industry City,111
2 Ave & E 104 St,577
2 Ave & E 122 St,199
2 Ave & E 31 St,3167
2 Ave & E 72 St,1622
2 Ave & E 96 St,1172
2 Ave & E 99 St,376
21 St & 31 Dr,259
21 St & 36 Ave,109
21 St & 38 Ave,57
21 St & 43 Ave,163
21 St & Hoyt Ave S,125
21 St & Queens Plaza North,369
23 Ave & 27 St,105
24 Ave & 26 St,267
24 Ave & 29 St,166
24 St & 41 Ave,264
27 Ave & 3 St,72
27 Ave & 9 St,163
27 St & Hunter St,231
28 Ave & 35 St,238
28 Ave & 44 St,201
28 St & 36 Ave,190
28 St & 41 Ave,415
3 Ave & 14 St,212
3 Ave & Carroll St,278
3 Ave & E 100 St,228
3 Ave & E 112 St,197
3 Ave & E 62 St,1148
3 Ave & E 71 St,633
3 Ave & E 72 St,632
3 Ave & Schermerhorn St,717
3 St & 3 Ave,608
3 St & 7 Ave,601
3 St & Hoyt St,238
3 St & Prospect Park West,439
30 Ave & 21 St,174
31 Ave & 14 St,131
31 Ave & 30 St,190
31 Ave & 34 St,310
31 Ave & Crescent St,177
31 Ave & Steinway St,257
31 St & 23 Ave,721
31 St & Astoria Blvd,256
31 St & Broadway,631
31 St & Hoyt Ave N,120
31 St & Newtown Ave,819
31 St & Northern Blvd,126
31 St & Thomson Ave,228
34 Ave & 13 St,81
34 Ave & 21 St,123
34 Ave & 38 St,574
34 St & 35 Ave,161
35 Ave & 10 St,193
35 Ave & 37 St,260
35 St & 34 Ave,197
35 St & Broadway,196
36 Ave & 10 St,156
36 Ave & 31 St,260
37 Ave & 35 St,185
37 St & 24 Ave,122
38 Ave & 29 St,152
39 St & 2 Ave - Citi Bike HQ at Industry City,67
4 Ave & 9 St,440
40 Ave & 9 St,113
40 Ave & Crescent St,95
43 St & Broadway,327
44 Dr & 21 St,454
44 Dr & Jackson Ave,563
45 Rd & 11 St,449
46 Ave & 5 St,678
47 Ave & 31 St,215
47 Ave & Skillman Ave,60
48 Ave & 30 Pl,110
48 Ave & 5 St,158
49 Ave & 21 St,239
5 Ave & 3 St,782
5 Ave & E 103 St,799
5 Ave & E 126 St,281
5 Ave & E 29 St,2964
5 Ave & E 63 St,740
5 Ave & E 73 St,1451
5 Ave & E 78 St,1017
5 Ave & E 88 St,1170
5 Ave & E 93 St,597
5 St & 51 Ave,121
5 St & 6 Ave,267
5 St & Market St,265
6 Ave & 12 St,306
6 Ave & 9 St,610
6 Ave & Broome St,2272
6 Ave & Canal St,2181
6 Ave & W 33 St,4976
6 Ave & W 34 St,2123
6 St & 7 Ave,362
7 Ave & Central Park South,1699
7 Ave & Park Pl,1093
7 St & 3 Ave,263
7 St & 5 Ave,339
8 Ave & W 31 St,5670
8 Ave & W 33 St,4789
8 Ave & W 52 St,3194
9 Ave & W 18 St,1815
9 Ave & W 22 St,3377
9 Ave & W 28 St,2129
9 Ave & W 45 St,2956
9 St & 44 Rd,195
Adam Clayton Powell Blvd & W 115 St,120
Adam Clayton Powell Blvd & W 118 St,305
Adam Clayton Powell Blvd & W 123 St,350
Adam Clayton Powell Blvd & W 126 St,315
Adelphi St & Myrtle Ave,878
Albany Ave & Fulton St,101
Allen St & Hester St,2352
Allen St & Rivington St,2279
Allen St & Stanton St,2708
Amsterdam Ave & W 119 St,329
Amsterdam Ave & W 125 St,211
Amsterdam Ave & W 66 St,973
Amsterdam Ave & W 73 St,3067
Amsterdam Ave & W 79 St,1921
Amsterdam Ave & W 82 St,1555
Astoria Park S & Shore Blvd,263
Atlantic Ave & Fort Greene Pl,968
Atlantic Ave & Furman St,547
Avenue C & E 18 St,1374
Avenue D & E 12 St,860
Avenue D & E 3 St,1542
Avenue D & E 8 St,1219
Baltic St & 5 Ave,761
Bank St & Hudson St,1802
Bank St & Washington St,1351
Banker St & Meserole Ave,742
Barclay St & Church St,1819
Barrow St & Hudson St,2722
Battery Pl & Greenwich St,1321
Bayard St & Baxter St,1832
Bayard St & Leonard St,442
Beaver St & Fayette St,146
Bedford Ave & Bergen St,513
Bedford Ave & Montgomery St,132
Bedford Ave & Nassau Ave,1024
Bedford Ave & S 9 St,297
Bergen St & Flatbush Ave,772
Bergen St & Smith St,1823
Bergen St & Vanderbilt Ave,622
Berkeley Pl & 6 Ave,365
Berkeley Pl & 7 Ave,960
Berry St & N 8 St,1160
Bialystoker Pl & Delancey St,913
Boerum St & Broadway,376
Bond St & Bergen St,576
Bond St & Fulton St,1465
Broad St & Bridge St,898
Broadway & 12 St,192
Broadway & Berry St,1032
Broadway & E 14 St,5476
Broadway & E 22 St,5903
Broadway & Furman Ave,12
Broadway & Hancock St,88
Broadway & Kosciuszko St,106
Broadway & Madison St,98
Broadway & Moylan Pl,471
Broadway & Roebling St,1006
Broadway & W 122 St,213
Broadway & W 25 St,4277
Broadway & W 29 St,3239
Broadway & W 36 St,1603
Broadway & W 37 St,1350
Broadway & W 38 St,1982
Broadway & W 41 St,3826
Broadway & W 49 St,2987
