,end station name,end station latitude,end station longitude
0,Edgecombe Ave & W 145 St,40.823498,-73.94386
1,E 85 St & 3 Ave,40.77801203,-73.95407149
2,28 St & 36 Ave,40.757186,-73.93271899999999
4,E 141 St & Jackson Ave,40.806896,-73.911837
6,21 St & 36 Ave,40.760185299999996,-73.9362726
7,3 Ave & E 100 St,40.787721399999995,-73.94728331
8,Avenue D & E 8 St,40.72387,-73.975767
9,W 16 St & The High Line,40.74334935,-74.00681753
10,S 4 St & Wythe Ave,40.71285887,-73.96590294
11,Hamilton Pl & W 140 St,40.822756,-73.951346
12,E 2 St & Avenue C,40.720873600000004,-73.98085795
13,Henry St & Middagh St,40.7003,-73.99158100000001
14,Lexington Ave & E 26 St,40.741459000000006,-73.983293
15,5 Ave & E 29 St,40.7451677,-73.98683077
16,E 160 St & Tinton Ave,40.820302000000005,-73.903944
17,E 81 St & 2 Ave,40.77477944895728,-73.95427465438844
18,W 33 St & 7 Ave,40.75019995,-73.99093085
22,Hope St & Union Ave,40.71167351,-73.95141312
24,2 Ave & E 125 St,40.802554,-73.933509
26,Motorgate,40.7639089,-73.9477213
27,West End Ave & W 60 St,40.77237,-73.99005
28,W 59 St & 10 Ave,40.770513,-73.988038
29,N 6 St & Bedford Ave,40.71745169,-73.95850939
30,Norman St & Wyckoff Ave,40.695170000000005,-73.90311
31,8 Ave & W 52 St,40.76370739,-73.9851615
32,E 27 St & 1 Ave,40.739445,-73.97680600000001
33,34 Ave & 13 St,40.763875299999995,-73.9364848
35,Wilson Ave & Troutman St,40.70166,-73.92754000000001
36,W 95 St & Broadway,40.7937704,-73.971888
37,Monroe St & Tompkins Ave,40.686203000000006,-73.944694
40,W 41 St & 8 Ave,40.75640548,-73.9900262
41,Broadway & W 58 St,40.76695317,-73.98169333
42,West St & Chambers St,40.71754834,-74.01322069
43,W 37 St & 5 Ave,40.75038009,-73.98338988
44,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760306
45,Spruce St & Nassau St,40.71146364,-74.00552427
46,9 Ave & W 22 St,40.7454973,-74.00197139
47,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845
49,Old Fulton St,40.70277159,-73.99383605
50,E 106 St & Lexington Ave,40.791976,-73.945993
51,Cherry St,40.71219906,-73.97948148
52,Concourse Village West & E 156 St,40.823161999999996,-73.92326700000001
54,11 Ave & W 41 St,40.76030096,-73.99884222
55,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059
56,W 34 St & 11 Ave,40.75594159,-74.0021163
57,Wyckoff Av & Stanhope St,40.703545,-73.917775
58,Adam Clayton Powell Blvd & W 130 St,40.812346000000005,-73.946168
